,42
set10IT035,-2.0430705391261257
set10IT036,-1.6375725351234376
set10IT037,-1.7701993023120204
set10IT043,-1.4984795122537684
set10IT044,0.7493458873268929
set10IT053,-0.2121416609889632
set12IT001,-1.2995917746489414
set12IT002,-0.6283084560615803
set12IT004,-2.0063104498811994
set12IT007,-1.720865407707203
set12IT008,1.1366507988106027
set12IT009,-0.9265111347969746
set12IT014,-2.0161596785510514
set12IT015,-0.6533574193074628
set12IT016,-2.023008665063683
set12IT017,-1.4557161710203486
set12IT023,-0.9501147441764524
set12IT024,-0.1066937612987811
set12IT025,-2.242339948199314
set12IT026,-1.698510140760742
set12IT027,-1.7739564077662353
set12IT028,-0.5921995231555514
set12IT029,-1.330160833892266
set12IT031,-0.0994645942437154
set12IT032,-0.8919355836623398
set12IT034,-0.7075283733864448
set12IT037,-0.9335938997004052
set12IT038,1.3193599915085363
set12IT039,-0.4014411770484208
set12IT044,-1.9062018350596397
set12IT046,-4.060901657310599
set12IT053,-1.4553812374344697
set12IT054,-0.5856038254218309
set12IT055,-2.257758107160262
set12IT056,-2.043793507077973
set12IT057,-1.6961602195895076
set12IT058,-1.0376541492831233
set12IT059,-1.8868195290564655
set15IT054,0.191640561606779
set15IT057,0.1352032472944065
set15IT058,-1.4650633497153067
set15IT059,0.0405012578536167
set15IT060,0.1865921971188653
set15IT061,-1.4183492397649278
set15IT062,-2.0039401553845413
set15IT063,-1.4170562784488054
set15IT064,-2.0504078964446104
set15IT065,-0.8268815751921962
set15IT066,-0.1978063186538217
set15IT067,-1.0511972375145922
set15IT068,-0.9540583967648378
set15IT071,0.7629206435010383
set15IT072,-0.885499954761472
set15IT073,-1.3549476814582462
set15IT074,-0.5603433390396444
set15IT075,-1.282132830373936
set15IT076,-1.6309824710906835
set15IT077,-0.8213501726471988
set15IT078,-1.4954092345247936
set15IT079,0.1810679488703025
set15IT080,-1.087225395822622
set15IT081,-2.4924188227509005
set16IT004,-1.1073428843674595
set16IT005,-1.8161612828418576
set16IT006,-0.9013669529654774
set16IT007,-1.0838751920554373
set16IT008,-0.7272487017472051
set16IT009,-0.3741336043501555
set16IT010,-1.2105238142996058
set16IT011,-3.12983527404183
set16IT012,-1.2101817595949584
set16IT013,-1.0123105007093751
set16IT014,-0.0403339785312764
set16IT015,-0.2892003554172274
set27IT004,-0.7917657181159768
set27IT005,-0.3285471213590076
set27IT006,0.5628831309783237
set27IT007,0.7862920033634729
set27IT008,-0.8909576214153456
set27IT009,-0.3873895785368606
set27IT010,0.1926675309678827
set27IT011,0.4436206817198668
set27IT012,0.2455845771763484
set27IT013,-0.3840846550603385
set27IT014,-1.217927199688512
set27IT015,-0.524908997094769
set27IT016,-0.847962565493848
set27IT017,-0.8570786468919083
set27IT018,-0.4116189836335562
set27IT019,-0.3797099867581099
set27IT020,0.4125631040971139
set27IT021,0.6929094376424821
set27IT024,-0.19804164778192
set27IT025,-0.8679514236636733
set27IT028,0.9988741469533908
set27IT029,0.7403275867188697
set27IT030,-1.2166369600310538
set27IT031,-1.680808892729716
set27IT032,-1.4922759681938578
set27IT033,-1.2471624536194403
set27IT034,-0.5566479347510449
set27IT035,-0.6146039923015987
set27IT036,-0.9168268241382456
set27IT037,-1.371821386548578
set27IT038,-0.9943671435377176
set27IT039,-0.7832533096922738
set27IT040,-1.5147272406034993
set27IT041,-1.2959779089335326
set27IT042,-0.9621549973932156
set27IT043,-0.7201467855691959
set27IT044,-1.032081121599656
set27IT045,-0.9698988577002672
set27IT046,-1.2969830208592388
set27IT047,-0.7813565717702198
set27IT048,-0.1170180996690792
set27IT049,-0.3009767701252266
set27IT050,-0.9541135339597868
set27IT051,-1.1634947320037616
set27IT052,-1.836630563074734
set27IT053,-0.6754439484288747
set27IT054,-0.61075431943028
set27IT055,-0.5261828177213388
set27IT056,-0.3618606073441697
set27IT057,-0.8110571673463187
set27IT058,0.1035666243089168
set27IT059,0.0240110688957241
set27IT060,0.5179541349069897
set27IT061,0.4324701801365089
set27IT062,-0.6381963475104918
set27IT063,-1.138386903012832
set27IT064,-12.470930911723086
set27IT065,-11.92445814006717
set27IT066,-1.2271434892754796
set27IT067,-0.9838967134891924
set27IT068,-0.2938843449493237
set27IT069,-0.0602144633409371
set27IT070,-0.598531672086319
set27IT071,-0.6811723379365852
set27IT072,-0.767474912060303
set27IT073,-1.3307917112530614
set28IT003,-0.4826915044630903
set28IT004,-1.0721593252232269
set28IT005,-1.1058197121208178
set28IT006,-0.8430320899030965
set28IT007,-0.7085384850980679
set28IT008,-0.3962474682519732
set28IT009,-1.7195470571514564
set28IT010,-1.1161937450467192
set28IT013,-1.4529495718479466
set28IT014,-1.018259527725886
set28IT017,-0.2070374832984283
set28IT018,-0.0344497056484923
set28IT021,-0.6255120284157389
set28IT022,-0.9653102652351496
set28IT023,-1.931803541921345
set28IT024,-1.6062380206635765
set28IT027,-1.5502986361365478
set28IT028,-2.5944268784717286
set28IT029,-0.631182534772287
set28IT030,-0.8609467745304183
set28IT031,-1.2510183813036968
set28IT032,-0.9683757867571408
set28IT035,-0.3490294628319093
set28IT036,0.3265310291684274
set28IT037,-0.7927887282109906
set28IT038,-1.148452456714013
set28IT039,-1.491280095727194
set28IT040,-2.234508535458608
set28IT041,-1.006700038927338
set28IT042,-0.6588537726896442
set28IT045,-1.799162489871358
set28IT046,-1.2641691393281176
set29IT004,-2.3972330202762904
set29IT005,-1.9495932205740607
set29IT006,-1.700446311696077
set29IT007,-2.2208281207370306
set29IT014,-1.1898308559466704
set29IT015,-0.7454837654635379
set29IT057,-0.522540217000946
set29IT058,-1.274575354312126
set100IT008,-0.2679667525832008
set100IT009,-0.403160999309909
set100IT010,-0.2549429816119306
set100IT011,-0.6868575860299907
set100IT012,0.0045997047890541
set100IT013,-0.2762233782497976
set100IT014,-0.7648829185978476
set100IT015,-0.6341511883160283
set100IT016,-0.5778898616194826
set100IT017,-1.5314222461808924
set100IT018,-1.4187269954311852
set100IT019,-0.925218201629333
set100IT020,-1.4316996617504314
set100IT021,-1.6709680691485218
set100IT022,-1.666079711690212
set100IT023,-0.7810183757026854
set100IT024,-0.7475589099983313
set100IT025,-0.4739879068888672
set100IT026,-0.2886685182224154
set100IT027,0.2969620546792089
set100IT028,-0.0628674507914538
set100IT029,-1.1710799112997183
set100IT030,-0.418554188803334
set100IT031,-0.4330024175335286
set100IT032,-0.6508420188600351
set100IT033,-1.4122198672151092
set100IT034,0.5897709959943922
set100IT035,-0.6850907466710112
set100IT036,-1.2484567163807383
set100IT037,-1.0924450200597309
set100IT038,-0.3357654805176224
set100IT039,-0.7828476036798279
set100IT040,-0.0656691474320497
set100IT041,-1.092631194626997
set100IT042,-1.1923677433193594
set100IT043,-0.6003913483208448
set100IT044,-0.3862713162638896
set100IT045,-0.3426929637708958
set100IT046,-0.3182186819038413
set101IT007,-0.3951277930108208
set101IT008,-2.248048488188397
set101IT009,-0.6829824983520868
set101IT013,-2.08068359499438
set101IT014,-1.0699000250508917
set101IT015,-3.341386892562267
set101IT016,-0.7219582586455404
set101IT017,-1.3524391805563465
set101IT018,-0.7411241725613499
set101IT019,-0.4806118913096078
set101IT020,-1.008591183750815
set101IT021,-0.2031440904920939
set101IT022,-1.3005344801807928
set101IT023,-1.271206268635507
set101IT024,-1.4060089295485796
set101IT025,0.5303312725011976
set101IT026,-0.4666774293569302
set101IT027,0.158592193658332
set101IT028,-0.8413931894226349
set101IT029,-0.0871123159994434
set101IT030,-0.3070089249163761
set101IT031,-0.742361784562796
set101IT032,-1.1000552202328924
set101IT033,-0.9562440112442936
set101IT034,0.0388505300247027
set101IT035,-0.5207194636723042
set101IT036,0.2057521878552318
set101IT037,-0.4845611110891545
set101IT038,-1.8207744187430512
set101IT039,-1.6674603621101938
set101IT040,-0.4415125870783224
set101IT041,-0.4896898689262985
set101IT042,0.4982424116099131
set101IT043,-1.4855888722395076
set101IT044,-1.8440413633428931
set101IT045,-0.8288996068105041
set101IT046,-1.6657649273605246
set101IT047,-0.9646014942058062
set101IT048,-2.22174740494176
